dataset,iteration,objective,empirical_error,structural_info
digits,2,-4.031363952679193,0.07863604732080724,411.0
digits,3,-5.891210855949896,0.018789144050104383,591.0
digits,4,-7.960953375086986,0.009046624913013222,797.0
digits,5,-9.895128740431455,0.0048712595685455815,990.0
digits,6,-11.825128740431454,0.0048712595685455815,1183.0
digits,7,-13.739304105775922,0.0006958942240779402,1374.0
digits,8,-15.64,0.0,1564.0
digits,9,-17.56,0.0,1756.0
digits,10,-19.47,0.0,1947.0
digits,11,-21.34,0.0,2134.0
digits,12,-23.22,0.0,2322.0
digits,13,-25.11,0.0,2511.0
digits,14,-26.97,0.0,2697.0
digits,15,-28.8,0.0,2880.0
digits,16,-30.67,0.0,3067.0
digits,17,-32.52,0.0,3252.0
digits,18,-34.35,0.0,3435.0
digits,19,-36.2,0.0,3620.0
digits,20,-38.04,0.0,3804.0
breast-w,2,-0.30174418604651165,0.023255813953488372,65.0
breast-w,3,-0.49142218246869407,0.0035778175313059034,99.0
breast-w,4,-0.6464221824686941,0.0035778175313059034,130.0
breast-w,5,-0.8,0.0,160.0
breast-w,6,-0.9450000000000001,0.0,189.0
breast-w,7,-1.1,0.0,220.0
breast-w,8,-1.25,0.0,250.0
breast-w,9,-1.4000000000000001,0.0,280.0
breast-w,10,-1.54,0.0,308.0
breast-w,11,-1.69,0.0,338.0
breast-w,12,-1.835,0.0,367.0
breast-w,13,-1.98,0.0,396.0
breast-w,14,-2.125,0.0,425.0
breast-w,15,-2.2600000000000002,0.0,452.0
breast-w,16,-2.4050000000000002,0.0,481.0
breast-w,17,-2.545,0.0,509.0
breast-w,18,-2.685,0.0,537.0
breast-w,19,-2.825,0.0,565.0
breast-w,20,-2.965,0.0,593.0
