dataset,lambda,mean_acc,std_acc,mean_structural_info,std_structural_info
digits,0.0,96.019,0.797,3336.0,14.445
digits,0.0001,96.019,0.655,3726.0,31.316
digits,0.001,95.926,0.571,3811.0,10.614
digits,0.005,95.926,0.571,3811.0,10.614
digits,0.01,95.926,0.571,3811.0,10.614
digits,0.05,95.926,0.571,3811.0,10.614
digits,0.1,95.926,0.571,3811.0,10.614
digits,0.5,95.926,0.571,3811.0,10.614
digits,1.0,95.926,0.571,3811.0,10.614
breast-w,0.0,95.714,0.583,482.667,4.784
breast-w,0.0001,94.762,0.891,603.0,14.765
breast-w,0.001,94.762,0.891,608.0,11.86
breast-w,0.005,94.762,0.891,608.0,11.86
breast-w,0.01,94.762,0.891,608.0,11.86
breast-w,0.05,94.762,0.891,608.0,11.86
breast-w,0.1,94.762,0.891,608.0,11.86
breast-w,0.5,94.762,0.891,608.0,11.86
breast-w,1.0,94.762,0.891,608.0,11.86
